zipcode,city,female,male
03220 Tervalampi   ,Vihti ,297,303
03250 Ojakkala   ,Vihti ,965,999
03300 Otalampi   ,Vihti ,1180,1279
03320 Selki   ,Vihti ,167,179
03400 Vihti Kirkonkylä   ,Vihti ,3243,3276
03430 Jokikunta   ,Vihti ,259,304
03600 Karkkila Keskus   ,Karkkila ,3404,3180
03620 Polari   ,Karkkila ,1034,1080
03710 Uusitalo   ,Karkkila ,103,99
03790 Vihtijärvi   ,Vihti ,248,273
03810 Ikkala   ,Lohja ,303,315
03850 Pusula   ,Lohja ,858,837
03870 Hyönölä   ,Lohja ,95,99
04130 Sipoo   ,Sipoo ,3674,3500
04150 Martinkylä   ,Sipoo ,304,349
04170 Paippinen   ,Sipoo ,617,643
04200 Kerava Keskus   ,Kerava ,6159,5343
04220 Ahjo-Kaskela   ,Kerava ,2496,2584
04230 Pihkaniitty   ,Kerava ,3807,3690
04240 Talma   ,Sipoo ,585,619
04250 Alikerava   ,Kerava ,2394,2387
04260 Savio   ,Kerava ,3124,3142
04300 Hyrylä   ,Tuusula ,5256,5021
04310 Tuusula Keskus   ,Tuusula ,1404,1253
04320 Riihikallio   ,Tuusula ,2372,2444
04330 Lahela   ,Tuusula ,1151,1150
04340 Mattila   ,Tuusula ,1123,1149
04350 Nahkela   ,Tuusula ,236,280
04360 Ruotsinkylä-Kiilinmäki   ,Tuusula ,592,661
04370 Rusutjärvi   ,Tuusula ,383,417
04380 Tuomala   ,Tuusula ,292,293
04390 Jäniksenlinna   ,Tuusula ,229,248
04400 Loutti   ,J?rvenp?? ,5156,4597
04410 Järvenpää Keskus   ,J?rvenp?? ,5282,4779
04420 Kyrölä   ,J?rvenp?? ,1948,1860
04430 Kinnari-Mikonkorpi   ,J?rvenp?? ,4625,4377
04440 Jamppa   ,J?rvenp?? ,2233,2362
04460 Nummenkylä   ,Tuusula ,935,1019
04480 Haarajoki   ,M?nts?l? ,1197,1240
04500 Kellokoski   ,Tuusula ,2989,2956
04530 Ohkola   ,M?nts?l? ,449,472
04600 Mäntsälä Keskus   ,M?nts?l? ,4857,4415
04620 Kaunismäki   ,M?nts?l? ,977,979
04630 Sääksjärvi   ,M?nts?l? ,412,467
04660 Numminen   ,M?nts?l? ,843,906
04680 Hirvihaara   ,M?nts?l? ,323,334
04740 Sälinkää   ,M?nts?l? ,593,610
04770 Sahakylä   ,M?nts?l? ,96,118
